order_dttm,currency_rate,currency_nm,ecom_flg,client_type,registration_country_nm,okved,turnover_amount_amt,sales_currency,order_status,order_uuid,currency_uuid,contract_uuid,client_uuid,product_uuid,order_cnum,client_nm,product_nm,product_category
2025-09-10 12:51:33,86.15,USD,False,Юр. лицо,РОССИЯ,Торговля розничная в нестационарных торговых объектах и на рынках,275.1,USD,implementation,c98260d5-57b1-628b-3168-a9c19754873d,462ef32d-49ad-4735-afeb-c60956406378,1a3421ef-ea7b-bc1c-dc24-367a699b8b73,fd32dd67-4e3b-7750-3be5-bc3acbcbe995,89745fbc-0187-4a8a-0429-cc1345c56bb0,НГЦБ-144869,"ООО ""РесурсЭнерго""",Портативный платформа преобразования,Освещение
2025-09-09 17:35:55,1.0,руб.,False,Юр. лицо,РОССИЯ,Производство элементов электронной аппаратуры,310.7,USD,implementation,1424c105-7c93-7d3c-f6b2-7375d0b42c08,baafd897-8857-2fc9-b1bb-4bc9b37c3653,4a3c95a4-fac4-4fc4-1011-4f110d2fe5fb,fb7a7f6b-f789-9605-45cf-1a520a1c043d,fafbb525-08aa-ccd4-d78b-493d8cd90c3c,НГЦБ-144762,"ТОО ""СервисДельта""",Беспроводной адаптер регулировки,Программное обеспечение
2025-08-15 09:31:17,1.0,руб.,False,Юр. лицо,РОССИЯ,Производство компьютеров и периферийного оборудования,21.09,USD,implementation,cfeb0568-373d-c5f7-0860-72edfdb594e2,baafd897-8857-2fc9-b1bb-4bc9b37c3653,a5993b47-86b4-5172-cdbf-88aa53ceb20d,a1cf0e7d-303b-2430-c8af-6a598032a4aa,c93d7bb1-2c8f-ec1a-4291-a42aad90b648,НГЦБ-140388,"АО ""АльфаРесурс""",Эффективный устройство защиты,Видеотехника
2025-09-10 12:51:33,86.15,USD,False,Юр. лицо,РОССИЯ,Торговля розничная в нестационарных торговых объектах и на рынках,560.0,USD,implementation,c98260d5-57b1-628b-3168-a9c19754873d,462ef32d-49ad-4735-afeb-c60956406378,1a3421ef-ea7b-bc1c-dc24-367a699b8b73,fd32dd67-4e3b-7750-3be5-bc3acbcbe995,1c151f04-7eaa-bb2c-9ce1-dcf30e43b810,НГЦБ-144869,"ООО ""РесурсЭнерго""",Интеллектуальный оборудование защиты,Электронные компоненты
2025-09-01 18:54:08,1.0,руб.,False,Юр. лицо,РОССИЯ,Производство элементов электронной аппаратуры,2980.0,USD,implementation,1ec3f9e6-d9d4-e720-cb16-476b8afbacc5,baafd897-8857-2fc9-b1bb-4bc9b37c3653,bf2cb3b6-f1ee-55b2-22cd-6dc2eb5a8d67,fb7a7f6b-f789-9605-45cf-1a520a1c043d,edfa6246-19a8-7bab-a062-ace86aa01a13,НГЦБ-143256,"ТОО ""СервисДельта""",Надежный аппарат,Бытовая техника
2025-09-10 09:08:10,86.15,USD,False,Юр. лицо,РОССИЯ,Торговля розничная в нестационарных торговых объектах и на рынках,10418.0,USD,implementation,ddb0db83-d2e6-cebc-1e5a-12da868c4a04,462ef32d-49ad-4735-afeb-c60956406378,c4a98289-bfd4-c939-3025-6b151fa3a325,fd32dd67-4e3b-7750-3be5-bc3acbcbe995,8421791d-b609-a5ec-817e-29c5ee8756ef,НГЦБ-144803,"ООО ""РесурсЭнерго""",Автоматический оборудование регулировки,Комплектующие
2025-09-09 17:35:55,1.0,руб.,False,Юр. лицо,РОССИЯ,Производство элементов электронной аппаратуры,58.32,USD,implementation,1424c105-7c93-7d3c-f6b2-7375d0b42c08,baafd897-8857-2fc9-b1bb-4bc9b37c3653,4a3c95a4-fac4-4fc4-1011-4f110d2fe5fb,fb7a7f6b-f789-9605-45cf-1a520a1c043d,c5b27186-4fd9-a0de-8e9c-139f18220c81,НГЦБ-144762,"ТОО ""СервисДельта""",Высокоскоростной комплект передачи,Видеотехника
2025-09-08 09:08:50,83.65,USD,False,Юр. лицо,РОССИЯ,Торговля розничная в нестационарных торговых объектах и на рынках,4250.0,USD,implementation,3ddc4500-1865-5c87-21b9-f2d5eae482b7,462ef32d-49ad-4735-afeb-c60956406378,ee67200b-6cca-ad7c-dc28-5640e14db4df,fd32dd67-4e3b-7750-3be5-bc3acbcbe995,491b7c76-30e4-0b45-feb0-53d51647844c,НГЦБ-144294,"ООО ""РесурсЭнерго""",Современный сенсор преобразования,Электронные компоненты
2025-09-17 12:19:27,86.0,USD,False,Юр. лицо,РОССИЯ,"Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения",631.0,USD,implementation,8e587cee-d857-2adc-2432-4bb55603b1ce,462ef32d-49ad-4735-afeb-c60956406378,ca1299a6-bd98-f8ad-f870-a74bf6141e1e,cda0d7a3-cce6-f803-3a90-0c379d1c03f5,d5a53ddd-449a-ebac-e54e-e64495b65292,НГЦБ-146168,"ТОО ""ТрансАвангард""",Интеллектуальный адаптер автоматизации,Мобильные устройства
2025-09-02 14:54:53,1.0,руб.,False,Юр. лицо,РОССИЯ,Производство электромонтажных работ,162.34,USD,implementation,9b41cc3f-ce86-0cdd-45d7-e93df57f9502,baafd897-8857-2fc9-b1bb-4bc9b37c3653,9139d44d-2bc1-414b-c3bf-810e77a4e962,2efbd5f7-a914-0c0d-7f16-59707a2010dd,eb15f333-53c5-a638-3c80-0dc3d874f7c2,НГЦБ-143410,"ООО ""ГаммаАгро""",Базовый контроллер преобразования,Промышленное оборудование
